age,pclass,survived,name,sex,sibsp,parch,ticket,fare
43,1,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",female,1,0,11778,55.4417
36,1,1,"Fleming, Miss. Margaret",female,0,0,17421,110.8833
52,1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,1,0,36947,78.2667
38,1,1,"Endres, Miss. Caroline Louise",female,0,0,PC 17757,227.525
36,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,1,0,PC 17569,146.5208
21,1,1,"Longley, Miss. Gretchen Fiske",female,0,0,13502,77.9583
37,1,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,1,0,19928,90
18,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,1,0,PC 17757,227.525
53,1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,2,0,11769,51.4792
48,1,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",female,1,3,PC 17608,262.375
25,1,1,"Harder, Mrs. George Achilles (Dorothy Annan)",female,1,0,11765,55.4417
76,1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Sieg",female,1,0,19877,78.85
51,1,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,1,0,13502,77.9583
36,1,1,"Crosby, Miss. Harriet R",female,0,2,WE/P 5735,71
24,1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,0,0,PC 17482,49.5042
36,1,1,"Flegenheim, Mrs. Alfred (Antoinette)",female,0,0,PC 17598,31.6833
17,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria",female,1,0,PC 17758,108.9
35,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,1,0,113803,53.1
22,1,1,"Bowerman, Miss. Elsie Edith",female,0,1,113505,55
48,1,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,0,0,17466,25.9292
33,1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,1,0,113806,53.1
27,1,1,"Davidson, Mrs. Thornton (Orian Hays)",female,1,2,F.C. 12750,52
50,1,1,"Widener, Mrs. George Dunton (Eleanor Elkins)",female,1,1,113503,211.5
36,1,1,"Young, Miss. Marie Grice",female,0,0,PC 17760,135.6333
50,2,1,"Parrish, Mrs. (Lutie Davis)",female,0,1,230433,26
22,2,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,1,1,248738,29
44,2,0,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",female,1,0,244252,26
54,2,1,"Hocking, Mrs. Elizabeth (Eliza Needs)",female,1,3,29105,23
20,2,1,"Hocking, Miss. Ellen ""Nellie""",female,2,1,29105,23
18,2,0,"Hiltunen, Miss. Marta",female,1,1,250650,13
13,2,1,"Mellinger, Miss. Madeleine Violet",female,0,1,250644,19.5
28,2,1,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,1,0,2003,26
23,2,1,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,0,0,SC/AH Basl,13.7917
34,2,1,"Lemore, Mrs. (Amelia Milley)",female,0,0,C.A. 34260,10.5
12,2,1,"Watt, Miss. Bertha J",female,0,0,C.A. 33595,15.75
15,2,1,"Brown, Miss. Edith Eileen",female,0,2,29750,39
42,2,1,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,1,0,SC/AH 3085,26
19,2,1,"Bentham, Miss. Lilian W",female,0,0,28404,13
18,2,1,"Doling, Miss. Elsie",female,0,1,231919,23
38,2,0,"Funk, Miss. Annie Clemmer",female,0,0,237671,13
34,2,1,"Doling, Mrs. John T (Ada Julia Bone)",female,0,1,231919,23
5,2,1,"West, Miss. Constance Mirium",female,1,2,C.A. 34651,27.75
24,2,1,"Mallet, Mrs. Albert (Antoinette Magnin)",female,1,1,S.C./PARIS,37.0042
35,2,1,"Cameron, Miss. Clear Annie",female,0,0,F.C.C. 135,21
24,2,1,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",female,1,0,SC/PARIS 2,27.7208
1,2,1,"Laroche, Miss. Louise",female,1,2,SC/Paris 2,41.5792
24,2,1,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,2,1,243847,27
50,2,1,"Ridsdale, Miss. Lucy",female,0,0,W./C. 1425,10.5
48,2,1,"Herman, Mrs. Samuel (Jane Laver)",female,1,2,220845,65
22,3,1,"Hellstrom, Miss. Hilda Maria",female,0,0,7548,8.9625
23,3,0,"Oreskovic, Miss. Jelka",female,0,0,315085,8.6625
19.5,3,0,"Risien, Mrs. Samuel (Emma)",female,0,0,364498,14.5
47,3,1,"Wilkes, Mrs. James (Ellen Needs)",female,1,0,363272,7
19.5,3,0,"Sage, Mrs. John (Annie Bullen)",female,1,9,CA. 2343,69.55
28,3,0,"Petranec, Miss. Matilda",female,0,0,349245,7.8958
22,3,0,"Kink, Miss. Maria",female,2,0,315152,8.6625
9,3,0,"Andersson, Miss. Ingeborg Constanzia",female,4,2,347082,31.275
26,3,0,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",female,1,0,A/5. 3336,16.1
45,3,1,"Hansen, Mrs. Claus Peter (Jennie L Howard)",female,1,0,350026,14.1083
16,3,1,"Abelseth, Miss. Karen Marie",female,0,0,348125,7.65
24,3,1,"Mulvihill, Miss. Bertha E",female,0,0,382653,7.75
19.5,3,0,"Meanwell, Miss. (Marion Ogden)",female,0,0,SOTON/O.Q.,8.05
19,3,0,"McNamee, Mrs. Neal (Eileen O'Leary)",female,1,0,376566,16.1
19.5,3,0,"Lefebre, Mrs. Frank (Frances)",female,0,4,4133,25.4667
19,3,1,"Nakid, Mrs. Said (Waika ""Mary"" Mowad)",female,1,1,2653,15.7417
19.5,3,1,"Madigan, Miss. Margaret ""Maggie""",female,0,0,370370,7.75
27,3,1,"Moor, Mrs. (Beila)",female,0,1,392096,12.475
22,3,1,"Landergren, Miss. Aurora Adelia",female,0,0,C 7077,7.25
19.5,3,1,"O'Leary, Miss. Hanora ""Norah""",female,0,0,330919,7.8292
14,3,0,"Vestrom, Miss. Hulda Amanda Adolfina",female,0,0,350406,7.8542
1,3,1,"Johnson, Miss. Eleanor Ileen",female,1,1,347742,11.1333
14,3,1,"Nicola-Yarred, Miss. Jamila",female,1,0,2651,11.2417
21,3,1,"Salkjelsvik, Miss. Anna Kristine",female,0,0,343120,7.65
18,3,1,"Sjoblom, Miss. Anna Sofia",female,0,0,3101265,7.4958
0.17,3,1,"Dean, Miss. Elizabeth Gladys ""Millvina""",female,1,2,C.A. 2315,20.575
16,3,0,"Goodwin, Miss. Lillian Amy",female,5,2,CA 2144,46.9
10,3,0,"Goodwin, Miss. Jessie Allis",female,5,2,CA 2144,46.9
19.5,3,1,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,1,0,376564,16.1
2,3,0,"Strom, Miss. Telma Matilda",female,0,1,347054,10.4625
19.5,3,1,"O'Dwyer, Miss. Ellen ""Nellie""",female,0,0,330959,7.8792
22,3,1,"Nysten, Miss. Anna Sofia",female,0,0,347081,7.75
19.5,3,1,"Roth, Miss. Sarah A",female,0,0,342712,8.05
31,3,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoort",female,1,0,345763,18
20,3,0,"Oreskovic, Miss. Marija",female,0,0,315096,8.6625
9,3,0,"Boulos, Miss. Nourelain",female,1,1,2678,15.2458
19.5,3,0,"Sage, Miss. Dorothy Edith ""Dolly""",female,8,2,CA. 2343,69.55
24,3,1,"Baclini, Mrs. Solomon (Latifa Qurban)",female,0,3,2666,19.2583
5,3,1,"Asplund, Miss. Lillian Gertrud",female,4,2,347077,31.3875
14.5,3,0,"Zabour, Miss. Hileni",female,1,0,2665,14.4542
39,3,0,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Br",female,1,5,347082,31.275
22,3,0,"Riihivouri, Miss. Susanna Juhantytar ""Sanni""",female,0,0,3101295,39.6875
9,3,1,"Touma, Miss. Maria Youssef",female,1,1,2650,15.2458
19,3,1,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,1,0,350046,7.8542
13,1,1,"Ryerson, Master. John Borie",male,2,2,PC 17608,262.375
37,1,0,"Compton, Mr. Alexander Taylor Jr",male,1,1,PC 17756,83.1583
37.5,1,1,"Woolner, Mr. Hugh",male,0,0,19947,35.5
40,1,0,"Harrison, Mr. William",male,0,0,112059,0
51,1,0,"Williams, Mr. Charles Duane",male,0,1,PC 17597,61.3792
46,1,0,"Chaffee, Mr. Herbert Fuller",male,1,0,W.E.P. 573,61.175
47,1,0,"Gee, Mr. Arthur H",male,0,0,111320,38.5
24,1,1,"Snyder, Mr. John Pillsbury",male,1,0,21228,82.2667
37.5,1,0,"Smith, Mr. Richard William",male,0,0,113056,26
55,1,0,"Hays, Mr. Charles Melville",male,1,1,12749,93.5
19,1,0,"Fortune, Mr. Charles Alexander",male,3,2,19950,263
47,1,0,"Colley, Mr. Edward Pomeroy",male,0,0,5727,25.5875
37.5,1,0,"Hilliard, Mr. Herbert Henry",male,0,0,17463,51.8625
30,1,0,"Foreman, Mr. Benjamin Laventall",male,0,0,113051,27.75
38,1,0,"Reuchlin, Jonkheer. John George",male,0,0,19972,0
42,1,0,"Borebank, Mr. John James",male,0,0,110489,26.55
52,1,1,"Peuchen, Major. Arthur Godfrey",male,0,0,113786,30.5
36,1,1,"Carter, Mr. William Ernest",male,1,2,113760,120
37.5,1,0,"Hoyt, Mr. William Fisher",male,0,0,PC 17600,30.6958
18,1,0,"Penasco y Castellana, Mr. Victor de Satode",male,1,0,PC 17758,108.9
48,1,0,"Brandeis, Mr. Emil",male,0,0,PC 17591,50.4958
17,1,0,"Carrau, Mr. Jose Pedro",male,0,0,113059,47.1
32.5,1,0,"Keeping, Mr. Edwin",male,0,0,113503,211.5
37.5,1,0,"Rood, Mr. Hugh Roscoe",male,0,0,113767,50
37.5,1,1,"Marechal, Mr. Pierre",male,0,0,11774,29.7
42,1,0,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey",male,0,0,17475,26.55
30,1,0,"Allison, Mr. Hudson Joshua Creighton",male,1,2,113781,151.55
25,1,0,"Birnbaum, Mr. Jakob",male,0,0,13905,26
28,1,0,"Carrau, Mr. Francisco M",male,0,0,113059,47.1
41,1,0,"Kenyon, Mr. Frederick R",male,1,0,17464,51.8625
26,2,1,"Caldwell, Mr. Albert Francis",male,1,1,248738,29
36,2,0,"West, Mr. Edwy Arthur",male,1,2,C.A. 34651,27.75
59,2,0,"Sjostedt, Mr. Ernst Adolf",male,0,0,237442,13.5
27,2,0,"Sharp, Mr. Percival James R",male,0,0,244358,26
51,2,0,"Bateman, Rev. Robert James",male,0,0,S.O.P. 116,12.525
34,2,0,"Renouf, Mr. Peter Henry",male,1,0,31027,21
36,2,0,"Reeves, Mr. David",male,0,0,C.A. 17248,10.5
23,2,0,"Baimbrigge, Mr. Charles Robert",male,0,0,C.A. 31030,10.5
28,2,0,"Parker, Mr. Clifford Richard",male,0,0,SC 14888,10.5
34,2,0,"Angle, Mr. William A",male,1,0,226875,26
29,2,1,"Pallas y Castello, Mr. Emilio",male,0,0,SC/PARIS 2,13.8583
16,2,0,"Mudd, Mr. Thomas Charles",male,0,0,S.O./P.P.,10.5
39,2,0,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",male,0,0,250655,26
30,2,0,"Matthews, Mr. William John",male,0,0,28228,13
24,2,0,"Leyson, Mr. Robert William Norman",male,0,0,C.A. 29566,10.5
36,2,0,"Levy, Mr. Rene Jacques",male,0,0,SC/Paris 2,12.875
29.5,2,0,"Lamb, Mr. John Joseph",male,0,0,240261,10.7083
31,2,0,"Kvillner, Mr. Johan Henrik Johannesson",male,0,0,C.A. 18723,10.5
29.5,2,0,"Knight, Mr. Robert J",male,0,0,239855,0
42,2,1,"Hosono, Mr. Masabumi",male,0,0,237798,13
21,2,0,"Hood, Mr. Ambrose Jr",male,0,0,S.O.C. 148,73.5
23,2,0,"Hocking, Mr. Richard George",male,2,1,29104,11.5
27,2,0,"Montvila, Rev. Juozas",male,0,0,211536,13
32.5,2,0,"Nasser, Mr. Nicholas",male,1,0,237736,30.0708
43,2,0,"Hart, Mr. Benjamin",male,1,1,F.C.C. 135,26.25
29.5,2,1,"Padro y Manent, Mr. Julian",male,0,0,SC/PARIS 2,13.8625
28,2,0,"Harper, Rev. John",male,0,1,248727,33
0.67,2,1,"Hamalainen, Master. Viljo",male,1,1,250649,14.5
30,2,0,"Hale, Mr. Reginald",male,0,0,250653,13
24,2,0,"Gill, Mr. John William",male,0,0,233866,13
30,2,0,"Aldworth, Mr. Charles Augustus",male,0,0,248744,13
34,2,0,"Gale, Mr. Shadrach",male,1,0,28664,21
38,2,0,"Gale, Mr. Harry",male,1,0,28664,21
19,2,0,"Rogers, Mr. Reginald Harry",male,0,0,28004,10.5
34,2,1,"Beesley, Mr. Lawrence",male,0,0,248698,13
26,2,0,"Schmidt, Mr. August",male,0,0,248659,13
29,2,0,"del Carlo, Mr. Sebastiano",male,1,0,SC/PARIS 2,27.7208
17,2,0,"Deacon, Mr. Percy William",male,0,0,S.O.C. 148,73.5
60,2,0,"Brown, Mr. Thomas William Solomon",male,1,1,29750,39
29.5,2,0,"Cunningham, Mr. Alfred Fleming",male,0,0,239853,0
24,2,1,"Collett, Mr. Sidney C Stuart",male,0,0,28034,10.5
28,2,0,"Collander, Mr. Erik Gustaf",male,0,0,248740,13
29.5,2,0,"Wheeler, Mr. Edwin ""Frederick""",male,0,0,SC/PARIS 2,12.875
29,2,0,"Clarke, Mr. Charles Valentine",male,1,0,2003,26
54,2,0,"Carter, Rev. Ernest Courtenay",male,1,0,244252,26
29.5,2,0,"Campbell, Mr. William",male,0,0,239853,0
22,3,0,"Vovk, Mr. Janko",male,0,0,349252,7.8958
28,3,0,"Vanden Steen, Mr. Leo Peter",male,0,0,345783,9.5
36,3,0,"Van Impe, Mr. Jean Baptiste",male,1,1,345773,24.15
25,3,0,"Tobin, Mr. Roger",male,0,0,383121,7.75
32,3,0,"Tikkanen, Mr. Juho",male,0,0,STON/O 2.,7.925
25,3,0,"Thomson, Mr. Alexander Morrison",male,0,0,32302,8.05
25,3,0,"Thomas, Mr. Charles P",male,1,0,2621,6.4375
34,3,0,"Theobald, Mr. Thomas Leonard",male,0,0,363294,8.05
27,3,0,"Strilic, Mr. Ivan",male,0,0,315083,8.6625
21,3,0,"Stanley, Mr. Edward Roland",male,0,0,A/4 45380,8.05
25,3,0,"Sdycoff, Mr. Todor",male,0,0,349222,7.8958
25,3,1,"Sap, Mr. Julius",male,0,0,345768,9.5
25,3,0,"Samaan, Mr. Elias",male,2,0,2662,21.6792
25,3,0,"Saad, Mr. Amin",male,0,0,2671,7.2292
18,3,0,"Rosblom, Mr. Viktor Richard",male,1,1,370129,20.2125
35,3,0,"Rintamaki, Mr. Matti",male,0,0,STON/O 2.,7.125
25,3,0,"Petterson, Mr. Johan Emil",male,1,0,347076,7.775
19,3,0,"Petroff, Mr. Nedelio",male,0,0,349212,7.8958
32,3,0,"Pavlovic, Mr. Stefo",male,0,0,349242,7.8958
21,3,0,"Pasic, Mr. Jakob",male,0,0,315097,8.6625
1,3,0,"Panula, Master. Eino Viljami",male,4,1,3101295,39.6875
20,3,0,"Oreskovic, Mr. Luka",male,0,0,315094,8.6625
28,3,0,"Olsen, Mr. Henry Margido",male,0,0,C 4001,22.525
9,3,1,"Olsen, Master. Artur Karl",male,0,1,C 17368,3.1708
25,3,0,"O'Connell, Mr. Patrick D",male,0,0,334912,7.7333
25,3,0,"O'Brien, Mr. Timothy",male,0,0,330979,7.8292
25,3,0,"Nenkoff, Mr. Christo",male,0,0,349234,7.8958
25,3,0,"Moen, Mr. Sigurd Hansen",male,0,0,348123,7.65
21,3,0,"Minkoff, Mr. Lazar",male,0,0,349211,7.8958
25,3,0,"Mernagh, Mr. Robert",male,0,0,368703,7.75
25,3,0,"Mardirosian, Mr. Sarkis",male,0,0,2655,7.2292
25,3,0,"MacKay, Mr. George William",male,0,0,C.A. 42795,7.55
25,3,0,"Lyntakoff, Mr. Stanko",male,0,0,349235,7.8958
32,3,1,"Lundstrom, Mr. Thure Edvin",male,0,0,350403,7.5792
24,3,0,"Lievens, Mr. Rene Aime",male,0,0,345781,9.5
25,3,0,"Lennon, Mr. Denis",male,1,0,370371,15.5
29,3,0,"Larsson, Mr. August Viktor",male,0,0,7545,9.4833
25,3,0,"Laleff, Mr. Kristo",male,0,0,349217,7.8958
25,3,0,"Kassem, Mr. Fared",male,0,0,2700,7.2292
17,3,0,"Kallio, Mr. Nikolai Erland",male,0,0,STON/O 2.,7.125
27,3,0,"Jonsson, Mr. Nils Hilding",male,0,0,350408,7.8542
25,3,0,"Johnston, Mr. Andrew G",male,1,2,W./C. 6607,23.45
33,3,0,"Johansson, Mr. Gustaf Joel",male,0,0,7540,8.6542
22,3,0,"Johansson, Mr. Erik",male,0,0,350052,7.7958
26,3,1,"Johansson Palmquist, Mr. Oskar Leander",male,0,0,347070,7.775
25,3,1,"Johannesen-Bratthammer, Mr. Bernt",male,0,0,65306,8.1125
17,3,0,"Jensen, Mr. Svend Lauritz",male,1,0,350048,7.0542
48,3,0,"Jensen, Mr. Niels Peder",male,0,0,350047,7.8542
25,3,1,"Persson, Mr. Ernst Ulrik",male,1,0,347083,7.775
25,3,1,"Hyman, Mr. Abraham",male,0,0,3470,7.8875
25,3,1,"Hee, Mr. Ling",male,0,0,1601,56.4958
27,3,1,"Hedman, Mr. Oskar Arvid",male,0,0,347089,6.975
25,3,0,"Hart, Mr. Henry",male,0,0,394140,6.8583
25,3,0,"Hagland, Mr. Konrad Mathias Reiersen",male,1,0,65304,19.9667
25,3,0,"Hagland, Mr. Ingvald Olai Olsen",male,1,0,65303,19.9667
40,3,0,"Goodwin, Mr. Charles Frederick",male,1,6,CA 2144,46.9
41,3,0,"Goldsmith, Mr. Nathan",male,0,0,SOTON/O.Q.,7.85
15,3,0,"Elias, Mr. Tannous",male,1,1,2695,7.2292
17,3,0,"Elias, Mr. Joseph Jr",male,1,1,2690,7.2292
45,3,0,"Ekstrom, Mr. Johan",male,0,0,347061,6.975
23,3,0,"Dyker, Mr. Adolf Fredrik",male,1,0,347072,13.9
25,3,0,"Sirota, Mr. Maurice",male,0,0,392092,8.05
25,3,0,"Doharr, Mr. Tannous",male,0,0,2686,7.2292
42,3,0,"Dimic, Mr. Jovan",male,0,0,315088,8.6625
17,3,0,"Dika, Mr. Mirko",male,0,0,349232,7.8958
25,3,0,"Demetri, Mr. Marinko",male,0,0,349238,7.8958
26,3,0,"Dean, Mr. Bertram Frank",male,1,2,C.A. 2315,20.575
16,3,0,"de Pelsmaeker, Mr. Alfons",male,0,0,345778,9.5
30,3,1,"de Mulder, Mr. Theodore",male,0,0,345774,9.5
17,3,0,"Davies, Mr. Joseph",male,2,0,A/4 48873,8.05
3,3,1,"Coutts, Master. William Loch ""William""",male,1,1,C.A. 37671,15.9
35,3,0,"Cor, Mr. Bartol",male,0,0,349230,7.8958
43,3,0,"Cook, Mr. Jacob",male,0,0,A/5 3536,8.05
31,3,0,"Conlon, Mr. Thomas Henry",male,0,0,21332,7.7333
24,3,0,"Coleff, Mr. Satio",male,0,0,349209,7.4958
20,3,0,"Coelho, Mr. Domingos Fernandeo",male,0,0,SOTON/O.Q.,7.05
32,3,1,"Chip, Mr. Chang",male,0,0,1601,56.4958
18,3,0,"Allum, Mr. Owen George",male,0,0,2223,8.3
24,3,0,"Celotti, Mr. Francesco",male,0,0,343275,8.05
21,3,0,"Canavan, Mr. Patrick",male,0,0,364858,7.75
17,3,0,"Calic, Mr. Jovo",male,0,0,315093,8.6625
26,3,0,"Bostandyeff, Mr. Guentcho",male,0,0,349224,7.8958
20,3,1,"Barah, Mr. Hanna Assi",male,0,0,2663,7.2292
9,3,0,"Asplund, Master. Clarence Gustaf Hugo",male,4,2,347077,31.3875
24,3,0,"Aronsson, Mr. Ernst Axel Algot",male,0,0,349911,7.775
26,3,0,"Angheloff, Mr. Minko",male,0,0,349202,7.8958
27,3,1,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,0,0,350043,7.7958
39,3,0,"Andersson, Mr. Anders Johan",male,1,5,347082,31.275
27,3,0,"Zakarian, Mr. Ortin",male,0,0,2670,7.225
36,3,0,"Wittevrongel, Mr. Camille",male,0,0,345771,9.5
25,3,0,"Wiseman, Mr. Phillippe",male,0,0,A/4. 34244,7.25
25,3,0,"Webber, Mr. James",male,0,0,SOTON/OQ 3,8.05
